date,symbol,close
2019-02-11,NVDA,146.45
2019-02-12,NVDA,151.17
2019-02-13,NVDA,152.88
2019-02-14,NVDA,154.53
2019-02-15,NVDA,157.34
2019-02-19,NVDA,156.64
2019-02-20,NVDA,158.55
2019-02-21,NVDA,155.77
2019-02-22,NVDA,159.19
2019-02-25,NVDA,158.69
2019-02-26,NVDA,157.1
2019-02-27,NVDA,155.41
2019-02-28,NVDA,154.26
2019-03-01,NVDA,156.45
2019-03-04,NVDA,156.78
2019-03-05,NVDA,156.52
2019-03-06,NVDA,152.05
2019-03-07,NVDA,149.26
2019-03-08,NVDA,150.64
2019-03-11,NVDA,161.14
2019-03-12,NVDA,162.52
2019-03-13,NVDA,168.62
2019-03-14,NVDA,165.56
2019-03-15,NVDA,169.81
2019-03-18,NVDA,168.95
2019-03-19,NVDA,175.71
2019-03-20,NVDA,174.4
2019-03-21,NVDA,183.94
2019-03-22,NVDA,177.5
2019-03-25,NVDA,173.78
2019-03-26,NVDA,176.87
2019-03-27,NVDA,176.5
2019-03-28,NVDA,177.25
2019-03-29,NVDA,179.56
2019-04-01,NVDA,182.28
2019-04-02,NVDA,183.0
2019-04-03,NVDA,188.62
2019-04-04,NVDA,188.26
2019-04-05,NVDA,190.95
2019-04-08,NVDA,191.79
2019-04-09,NVDA,189.26
2019-04-10,NVDA,192.1
2019-04-11,NVDA,191.54
2019-04-12,NVDA,190.01
2019-04-15,NVDA,184.7
2019-04-16,NVDA,188.21
2019-04-17,NVDA,187.29
2019-04-18,NVDA,186.3
2019-04-22,NVDA,188.47
2019-04-23,NVDA,190.67
2019-04-24,NVDA,191.17
2019-04-25,NVDA,186.91
2019-04-26,NVDA,178.09
2019-04-29,NVDA,179.33
2019-04-30,NVDA,181.0
2019-05-01,NVDA,180.47
2019-05-02,NVDA,183.19
2019-05-03,NVDA,183.01
2019-05-06,NVDA,179.85
2019-05-07,NVDA,173.11
2019-05-08,NVDA,173.92
2019-05-09,NVDA,170.19
2019-05-10,NVDA,168.82
2019-05-13,NVDA,158.45
2019-05-14,NVDA,162.04
2019-05-15,NVDA,159.58
2019-05-16,NVDA,160.19
2019-05-17,NVDA,156.53
2019-05-20,NVDA,151.75
2019-05-21,NVDA,155.06
2019-05-22,NVDA,152.2
2019-05-23,NVDA,147.32
2019-05-24,NVDA,145.15
2019-05-28,NVDA,143.33
2019-05-29,NVDA,140.34
2019-05-30,NVDA,139.11
2019-05-31,NVDA,135.46
2019-06-03,NVDA,133.78
2019-06-04,NVDA,143.0
2019-06-05,NVDA,141.28
2019-06-06,NVDA,143.78
2019-06-07,NVDA,145.5
2019-06-10,NVDA,148.43
2019-06-11,NVDA,150.75
2019-06-12,NVDA,146.2
2019-06-13,NVDA,148.26
2019-06-14,NVDA,144.64
2019-06-17,NVDA,145.03
2019-06-18,NVDA,152.88
2019-06-19,NVDA,153.12
2019-06-20,NVDA,154.1
2019-06-21,NVDA,151.76
2019-06-24,NVDA,152.66
2019-06-25,NVDA,151.48
2019-06-26,NVDA,159.26
2019-06-27,NVDA,163.23
2019-06-28,NVDA,164.23
2019-07-01,NVDA,166.17
2019-07-02,NVDA,162.23
2019-07-03,NVDA,162.75
2019-07-05,NVDA,160.23
2019-07-08,NVDA,157.21
2019-07-09,NVDA,157.31
2019-07-10,NVDA,160.06
2019-07-11,NVDA,166.28
2019-07-12,NVDA,167.61
2019-07-15,NVDA,167.27
2019-07-16,NVDA,167.08
2019-07-17,NVDA,169.71
2019-07-18,NVDA,170.18
2019-07-19,NVDA,168.44
2019-07-22,NVDA,171.32
2019-07-23,NVDA,175.66
2019-07-24,NVDA,178.66
2019-07-25,NVDA,173.38
2019-07-26,NVDA,175.07
2019-07-29,NVDA,174.82
2019-07-30,NVDA,175.45
2019-07-31,NVDA,168.72
2019-08-01,NVDA,164.92
2019-08-02,NVDA,161.19
2019-08-05,NVDA,150.79
2019-08-06,NVDA,152.35
2019-08-07,NVDA,153.89
2019-08-08,NVDA,158.26
2019-08-09,NVDA,154.18
2019-08-12,NVDA,151.45
2019-08-13,NVDA,156.05
2019-08-14,NVDA,150.07
2019-08-15,NVDA,148.77
2019-08-16,NVDA,159.56
2019-08-19,NVDA,170.78
2019-08-20,NVDA,167.87
2019-08-21,NVDA,171.23
2019-08-22,NVDA,171.48
2019-08-23,NVDA,162.44
2019-08-26,NVDA,165.45
2019-08-27,NVDA,161.8
2019-08-28,NVDA,161.22
2019-08-29,NVDA,167.0
2019-08-30,NVDA,167.51
2019-09-03,NVDA,164.17
2019-09-04,NVDA,168.76
2019-09-05,NVDA,179.74
2019-09-06,NVDA,178.65
2019-09-09,NVDA,180.5
2019-09-10,NVDA,183.18
2019-09-11,NVDA,184.33
2019-09-12,NVDA,184.27
2019-09-13,NVDA,181.94
2019-09-16,NVDA,180.21
2019-09-17,NVDA,181.07
2019-09-18,NVDA,179.98
2019-09-19,NVDA,176.94
2019-09-20,NVDA,172.69
2019-09-23,NVDA,174.84
2019-09-24,NVDA,172.53
2019-09-25,NVDA,178.23
2019-09-26,NVDA,177.34
2019-09-27,NVDA,171.76
2019-09-30,NVDA,174.07
2019-10-01,NVDA,174.0
2019-10-02,NVDA,173.04
2019-10-03,NVDA,181.31
2019-10-04,NVDA,181.97
2019-10-07,NVDA,184.33
2019-10-08,NVDA,177.23
2019-10-09,NVDA,180.71
2019-10-10,NVDA,183.03
2019-10-11,NVDA,185.99
2019-10-14,NVDA,186.53
2019-10-15,NVDA,196.37
2019-10-16,NVDA,194.21
2019-10-17,NVDA,194.29
2019-10-18,NVDA,190.49
2019-10-21,NVDA,196.01
2019-10-22,NVDA,195.61
2019-10-23,NVDA,195.09
2019-10-24,NVDA,196.86
2019-10-25,NVDA,204.54
2019-10-28,NVDA,206.79
2019-10-29,NVDA,202.92
2019-10-30,NVDA,203.0
2019-10-31,NVDA,201.02
2019-11-01,NVDA,202.59
2019-11-04,NVDA,210.5
2019-11-05,NVDA,209.61
2019-11-06,NVDA,207.63
2019-11-07,NVDA,208.34
2019-11-08,NVDA,207.78
2019-11-11,NVDA,208.18
2019-11-12,NVDA,209.61
2019-11-13,NVDA,208.57
2019-11-14,NVDA,209.79
2019-11-15,NVDA,204.19
2019-11-18,NVDA,212.28
2019-11-19,NVDA,207.99
2019-11-20,NVDA,211.18
2019-11-21,NVDA,210.18
2019-11-22,NVDA,210.89
2019-11-25,NVDA,221.21
2019-11-26,NVDA,217.0
2019-11-27,NVDA,218.24
2019-11-29,NVDA,216.74
2019-12-02,NVDA,209.25
2019-12-03,NVDA,207.66
2019-12-04,NVDA,209.42
2019-12-05,NVDA,208.74
2019-12-06,NVDA,212.17
2019-12-09,NVDA,212.17
2019-12-10,NVDA,213.98
2019-12-11,NVDA,217.34
2019-12-12,NVDA,224.07
2019-12-13,NVDA,223.99
2019-12-16,NVDA,225.15
2019-12-17,NVDA,228.29
2019-12-18,NVDA,229.51
2019-12-19,NVDA,235.46
2019-12-20,NVDA,239.37
2019-12-23,NVDA,238.82
2019-12-24,NVDA,238.62
2019-12-26,NVDA,239.19
2019-12-27,NVDA,236.87
2019-12-30,NVDA,232.32
2019-12-31,NVDA,235.3
2020-01-02,NVDA,239.91
2020-01-03,NVDA,236.07
2020-01-06,NVDA,237.06
2020-01-07,NVDA,239.93
2020-01-08,NVDA,240.38
2020-01-09,NVDA,243.02
2020-01-10,NVDA,244.32
2020-01-13,NVDA,251.98
2020-01-14,NVDA,247.28
2020-01-15,NVDA,245.57
2020-01-16,NVDA,248.93
2020-01-17,NVDA,249.28
2020-01-21,NVDA,247.94
2020-01-22,NVDA,250.11
2020-01-23,NVDA,252.86
2020-01-24,NVDA,250.48
2020-01-27,NVDA,240.2
2020-01-28,NVDA,247.97
2020-01-29,NVDA,245.54
2020-01-30,NVDA,245.81
2020-01-31,NVDA,236.43
2020-02-03,NVDA,240.33
2020-02-04,NVDA,247.13
2020-02-05,NVDA,250.76
2020-02-06,NVDA,254.25
2020-02-07,NVDA,251.59
2020-02-10,NVDA,262.97
2020-02-11,NVDA,267.89
2020-02-12,NVDA,272.54
2020-02-13,NVDA,270.78
2020-02-14,NVDA,289.79
2020-02-18,NVDA,296.57
2020-02-19,NVDA,314.7
2020-02-20,NVDA,308.7
2020-02-21,NVDA,294.07
2020-02-24,NVDA,273.28
2020-02-25,NVDA,262.05
2020-02-26,NVDA,267.65
2020-02-27,NVDA,252.6
2020-02-28,NVDA,270.07
2020-03-02,NVDA,276.43
2020-03-03,NVDA,265.89
2020-03-04,NVDA,284.51
2020-03-05,NVDA,273.29
2020-03-06,NVDA,266.04
2020-03-09,NVDA,245.44
2020-03-10,NVDA,261.08
2020-03-11,NVDA,246.47
2020-03-12,NVDA,216.31
2020-03-13,NVDA,240.84
2020-03-16,NVDA,196.4
2020-03-17,NVDA,217.27
2020-03-18,NVDA,202.82
2020-03-19,NVDA,212.97
2020-03-20,NVDA,205.75
2020-03-23,NVDA,212.69
2020-03-24,NVDA,249.18
2020-03-25,NVDA,245.62
2020-03-26,NVDA,257.24
2020-03-27,NVDA,252.73
2020-03-30,NVDA,265.59
2020-03-31,NVDA,263.6
2020-04-01,NVDA,243.07
2020-04-02,NVDA,255.47
2020-04-03,NVDA,243.91
2020-04-06,NVDA,268.4
2020-04-07,NVDA,259.03
2020-04-08,NVDA,266.95
2020-04-09,NVDA,262.95
2020-04-13,NVDA,269.85
2020-04-14,NVDA,283.95
2020-04-15,NVDA,280.84
2020-04-16,NVDA,294.7
2020-04-17,NVDA,292.32
2020-04-20,NVDA,287.05
2020-04-21,NVDA,269.51
2020-04-22,NVDA,286.15
2020-04-23,NVDA,284.01
2020-04-24,NVDA,289.59
2020-04-27,NVDA,297.08
